"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY","UnitedHealthcare","H2577","Local CCP","Local PPO","01/01/2020","For Profit","UnitedHealth Group, Inc.","San Francisco","30,008","4350 Lockhill-Selma Road","Suite 300","San Antonio","TX","78249","","Service","Customer","","1-800-950-9355","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","09/23/2019"
"CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO","UnitedHealthcare","H1537","Local CCP","Local PPO","01/01/2012","For Profit","UnitedHealth Group, Inc.","San Francisco","2,110","1401 W. Capitol Avenue","3rd Floor, Suite 375","Little Rock","AR","722012994","","Service","Customer","","1-800-711-6088","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/09/2018"
"CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","H6528","Local CCP","Local PPO","01/01/2009","For Profit","UnitedHealth Group, Inc.","San Francisco","1,010","1401 W. Capitol Avenue","3rd Floor, Suite 375","Little Rock","AR","722012994","","Service","Customer","","1-800-204-1002","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/13/2018"
"CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","H5322","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","UnitedHealth Group, Inc.","San Francisco","30,954","1401 W. Capitol Avenue","3rd Floor, Suite 375","Little Rock","AR","722012994","","Service","Customer","","1-800-393-0993","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/12/2018"
"CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","R3444","Regional CCP","Regional PPO","01/01/2007","For Profit","UnitedHealth Group, Inc.","San Francisco","75,947","1401 W. Capitol Avenue","3rd Floor, Suite 375","Little Rock","AR","722012994","","Service","Customer","","1-800-204-1002","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/12/2018"
"CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY","UnitedHealthcare","H0294","Local CCP","Local PPO","01/01/2012","For Profit","UnitedHealth Group, Inc.","San Francisco","29,546","10701 West Research Drive","P.O. Box 26649","Wauwatosa","WI","532260649","","Service","Customer","","1-800-204-1002","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/09/2018"
"CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY","UnitedHealthcare","H3794","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","UnitedHealth Group, Inc.","San Francisco","16,025","10701 West Research Drive","P.O. Box 26649","Wauwatosa","WI","532260649","","Service","Customer","","1-800-393-0993","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","05/22/2018"
"CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA","CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA","H9808","Local CCP","Local PPO","01/01/2016","For Profit","Moses H. Cone Memorial Hospital Corp.","Atlanta","15,568","7800 McCloud Road","Suite 100","Greensboro","NC","27409","","Service","Customer","","1-888-965-1965","","","conciergehta@healthteamadvantage.com","7800 McCloud Road","Suite 100","Greensboro","NC","27409","10/05/2017"
"CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA","CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA","H2624","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Moses H. Cone Memorial Hospital Corp.","Atlanta","399","7800 McCloud Road","Suite 100","Greensboro","NC","27409","","Service","Customer","","1-888-965-1965","","","conciergehta@healthteamadvantage.com","7800 McCloud Road","Suite 100","Greensboro","NC","27409","02/04/2019"
"CARE N' CARE INSURANCE COMPANY, INC.","Care N' Care Insurance Company","H2171","Local CCP","HMO/HMOPOS","01/01/2015","For Profit","Texas Health Resources","Dallas","4,134","1701 River Run","Suite 402","Fort Worth","TX","76107","","Concierge","Provider","","1-817-687-4004","","","info@cnchealthplan.com","1701 River Run","Suite 402","Fort Worth","TX","76107","12/21/2015"
"CARE N' CARE INSURANCE COMPANY, INC.","Care N' Care Insurance Company","H6328","Local CCP","Local PPO","01/01/2009","For Profit","Texas Health Resources","Dallas","10,328","1701 River Run","Suite 402","Fort Worth","TX","76107","","Concierge","Provider","","1-817-687-4004","","","info@cnchealthplan.com","1701 River Run","Suite 402","Fort Worth","TX","76107","12/21/2015"
"CARE RESOURCES","Care Resources","H5610","National PACE","National PACE","09/01/2006","Not-for-Profit/Non-Profit","Care Resources","Chicago","230","4150 Kalamazoo Avenue SE","","Grand Rapids","MI","49508","Community Outreach","Horsley-Pettigrew","Veronica","","1-616-913-2031","","1-616-913-2003","veronica.horsley-pettigrew@care-resources.org","4150 Kalamazoo Avenue SE","","Grand Rapids","MI","49508","08/07/2019"
"CARE WISCONSIN HEALTH PLAN, INC.","My Choice Wisconsin Health Plan","H5209","Local CCP","HMO/HMOPOS","01/01/1999","Not-for-Profit/Non-Profit","My Choice Wisconsin, Inc.","Chicago","2,137","1617 Sherman Avenue","","MADISON","WI","53704","Director, Decision Suppor","Blaska","Katie","","1-608-245-3808","","","blaskak@carewisc.org","1617 Sherman Ave.","","Madison","WI","53704","11/09/2020"
"CAREPARTNERS OF CONNECTICUT, INC.","CarePartners of Connecticut","H5273","Local CCP","HMO/HMOPOS","01/01/2019","Not-for-Profit/Non-Profit","Tufts Health Plan, Inc","Boston","1,864","55 Capital Boulevard","Suite 101","Rocky Hill","CT","06067","Production Specialist, TA","Kayser","Kenneth","","1-617-972-9400","29527","","kenneth_kayser@tufts-health.com","705 Mount Auburn Street","","Watertown","MA","02472","06/27/2019"
"CAREPARTNERS REHABILITATION HOSPITAL, LLLP","CarePartners PACE","H6846","National PACE","National PACE","03/01/2015","For Profit","HCA Healthcare, Inc.","Atlanta","198","286 Overlook Road","","Asheville","NC","28803","Executive Director","Beijer","David","","1-828-213-8440","","","david.beijer@hcahealthcare.com","286 Overlook Road","","Asheville","NC","28803","03/18/2020"
"CAREPLUS HEALTH PLANS, INC.","CarePlus Health Plans, Inc.","H1019","Local CCP","HMO/HMOPOS","02/01/1998","For Profit","Humana Inc.","Kansas City","169,436","11430 NW 20th Street","Suite 300","Miami","FL","33172","","Collins","Michael","","1-800-448-6262","","","mcollins2@humana.com","101 East Main Street","","Louisville","KY","40202","01/04/2018"
"CARESOURCE","CareSource MyCare Ohio","H8452","Demo","Medicare-Medicaid Plan HMO/HMOPOS","05/01/2014","Not-for-Profit/Non-Profit","CareSource","Chicago","19,980","230 N. Main Street","","Dayton","OH","45402","Interim Manager, HPLC Ope","Bundy","Bethany","","1-937-531-2187","","","bethany.bundy@caresource.com","P. O. Box 8378","","Dayton","OH","45401","09/25/2019"
"CARESOURCE OHIO, INC.","CareSource","H6396","Local CCP","HMO/HMOPOS","01/01/2017","Not-for-Profit/Non-Profit","CareSource","Chicago","3,956","230 N Main","","Dayton","OH","45402","Interim Manager HPLC Oper","Bundy","Bethany","","1-937-531-2187","","","bethany.bundy@caresource.com","P. O. Box 8378","","Dayton","OH","45401","07/11/2019"
"CARITEN HEALTH PLAN INC.","Humana","H4461","Local CCP","HMO/HMOPOS","01/01/1998","For Profit","Humana Inc.","Kansas City","121,022","2160 Lakeside Centre Way, Suite 200","","Knoxville","TN","37922","","Collins","Michael","","1-800-448-6262","","","mcollins2@humana.com","101 East Main Street","","Louisville","KY","40202","01/04/2018"
"CAROLINA SENIORCARE","Carolina SeniorCare","H1357","National PACE","National PACE","10/01/2012","Not-for-Profit/Non-Profit","United Church Homes and Services","Atlanta","176","802 East Center Street","","Lexington","NC","27292","Executive Director","Chang","Thomas","","1-336-746-3500","","1-336-746-3565","tchang@uchas.org","802 East Center Street","","Lexington","NC","27292","05/10/2018"
"CATHOLIC HEALTH SYSTEM BUFFALO PACE","Catholic Health LIFE","H1518","National PACE","National PACE","09/01/2009","Not-for-Profit/Non-Profit","Catholic Health System, Inc.","New York","271","55 Melroy Avenue","Ground Floor","Lackawanna","NY","14218","Executive Director","Rudick","Ashley","","1-716-819-5081","","1-716-819-5099","arudick@chsbuffalo.org","55 Melroy Avenue","Ground Floor","Lackawanna","NY","14218","03/11/2020"
"CATHOLIC MANAGED LONG TERM CARE, INC.","ArchCare Senior Life","H4393","National PACE","National PACE","09/01/2009","Not-for-Profit/Non-Profit","Catholic Health Care System","New York","664","1432 Fifth Avenue","","New York","NY","10035","","Brizer","Wendy","","1-646-289-7715","","","wmaciol@archcare.org","1432 Fifth Avenue","","New York","NY","10035","08/02/2018"
"CATHOLIC SPECIAL NEEDS PLAN, LLC","ArchCare Advantage","H1777","Local CCP","HMO/HMOPOS","01/01/2008","Not-for-Profit/Non-Profit","Catholic Health Care System","New York","1,316","205 Lexington Avenue","14th Floor","New York","NY","10016","VP, Managed Care Organiza","Fama","Victor","","1-917-484-5055","","","vfama@archcare.org","205 Lexington Avenue, 8th Floor","","New York","NY","10016","10/24/2019"
"CDPHP UNIVERSAL BENEFITS, INC.","CDPHP Medicare Advantage","H5042","Local CCP","Local PPO","01/01/2008","Not-for-Profit/Non-Profit","Capital District Physicians' Health Plan, Inc.","New York","5,348","500 Patroon Creek Blvd.","","Albany","NY","12206","Mgr. Provider Services","DiDonna","Joanna","","1-518-641-3500","","1-518-641-4605","Joanna.DiDonna@cdphp.com","500 Patroon Creek Corporate Center","","Albany","NY","12206","11/16/2015"
"CENTENE VENTURE COMPANY FLORIDA","Ascension Complete","H8225","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Centene Corporation","Dallas","980","1301 International Parkway Suite 400","","Sunrise","FL","33323","","Services","Provider","","1-866-796-0530","","","CorporateMedicareComplianceDept@CENTENE.COM","1301 International Parkway,","Suite 400","Sunrise","FL","33323","01/24/2019"
"CENTENE VENTURE COMPANY ILLINOIS","Ascension Complete","H7399","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Centene Corporation","Dallas","479","999 Oakmont Plaza Drive Suite 400","","Westmont","IL","60560","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Pkwy","Suite 200","Columbus","OH","43219","01/24/2019"
"CENTENE VENTURE COMPANY KANSAS","Ascension Complete","H5398","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Centene Corporation","Dallas","432","8325 Lenexa Drive Suite 200","","Lenexa","KS","66214","","Services","Provider","","1-855-565-9519","","","CorporateMedicareComplianceDept@CENTENE.COM","8325 Lenexa Drive","Suite 200","Lenexa","KS","66214","01/24/2019"
"CENTER FOR ELDERS INDEPENDENCE","Center For Elders' Independence","H5405","National PACE","National PACE","11/01/2003","Not-for-Profit/Non-Profit","Center For Elders Independence","San Francisco","713","510-17th St., Suite 400","","OAKLAND","CA","94612","","Black","Erica","","1-510-433-1150","","","eblack@cei.elders.org","510-17th St., Suite 400","","Oakland","CA","94612","05/26/2016"
"CENTERLIGHT HEALTHCARE, INC.","CenterLight TeamCare","H3329","National PACE","National PACE","11/01/2003","Not-for-Profit/Non-Profit","CenterLight Health System, Inc.","Boston","2,079","1733 Eastchester Road","2nd Floor","BRONX","NY","10461","Customer Service Team (CS","","","","1-833-252-2737","","","customerserviceteam@centerlight.org","1733 Eastchester Road","2nd Floor","Bronx","NY","10461","02/07/2020"
"CENTERS PLAN FOR HEALTHY LIVING, LLC","Centers Plan for Healthy Living","H6988","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","Centers Plan for Healthy Living, LLC","New York","1,204","75 Vanderbilt Ave.","Suite 600","Staten Island","NY","10304","AVP of Compliance","Fernandes","Natalie","","1-718-215-7000","3142","","compliance@centersplan.com","75 Vanderbilt Avenue","7th Floor","Staten Island","NY","10304","04/15/2020"
"CENTRA HEALTH, INC.","Centra PACE","H8096","National PACE","National PACE","02/01/2009","Not-for-Profit/Non-Profit","Centra Health, Inc.","Philadelphia","242","407 Federal Street","","Lynchburg","VA","24504","Centra PACE Program Direc","Graham","George","C","1-434-200-6516","","","george.graham@centrahealth.com","407 Federal Street","","Lynchburg","VA","24504","07/08/2013"
"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.","Central Health Medicare Plan","H5649","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","AHMC Central Health LLC","San Francisco","43,103","1540 Bridgegate Drive","","Diamond Bar","CA","91765","","Department","Marketing","","1-626-388-2390","3106","1-626-388-2379","marketing@centralhealthplan.com","1540 Bridgegate Drive","","Diamond Bar","CA","91765","01/07/2011"
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO","San Diego PACE","H9616","National PACE","National PACE","04/01/2015","Not-for-Profit/Non-Profit","Centro de Salud de la Comunidad de San Ysidro","San Francisco","804","1275 30th Street","","San Diego","CA","92154","Vice President & Chief St","Todd","Vernita","","1-619-941-2472","4192","","vernita.todd@syhealth.org","1601 Precision Park Lane","","San Diego","CA","92173","10/06/2020"
"CHA HMO, INC.","Humana","H0028","Local CCP","HMO/HMOPOS","01/01/2013","For Profit","Humana Inc.","Kansas City","343,124","500 West Main Street","","Louisville","KY","40202","","Collins","Michael","","1-800-448-6262","","","mcollins2@humana.com","101 East Main Street","","Louisville","KY","40202","01/04/2018"
"CHEROKEE NATION COMPREHENSIVE CARE AGENCY","Cherokee Elder Care","H4142","National PACE","National PACE","08/01/2008","Not-for-Profit/Non-Profit","Cherokee Nation Comprehensive Care Agency","Dallas","162","1387 W 4th St.","","Tahlequah","OK","74464","Chief Financial Officer","Pittman","Thelma","","1-918-207-4936","","1-918-207-0141","thelma-pittman@cherokee.org","1387 W 4th Street","","Tahlequah","OK","74464","03/13/2019"
"CHINESE COMMUNITY HEALTH PLAN","Chinese Community Health Plan","H0571","Local CCP","HMO/HMOPOS","08/01/1994","For Profit","Chinese Hospital Association","San Francisco","5,103","445 Grant Avenue","Suite 700","SAN FRANCISCO","CA","94108","Provider Network Manager","Hong","Gordon","","1-628-228-3276","","1-415-955-8818","gordon.hong@cchphealthplan.com","445 Grant Avenue","Suite 700","San Francisco","CA","94108","02/27/2019"
"CHRISTUS HEALTH PLAN","CHRISTUS Health Plan Generations","H1189","Local CCP","HMO/HMOPOS","01/01/2015","Not-for-Profit/Non-Profit","CHRISTUS Health","Dallas","3,973","919 Hidden Ridge","","Irving","TX","75038","CEO CHRISTUS Health Plan","Horstmann","Nancy","","1-469-282-3523","","","nancy.horstmann@christushealth.org","919 Hidden Ridge","","Irving","TX","75038","11/12/2019"
"CIGNA HEALTH AND LIFE INSURANCE COMPANY","Cigna","H7849","Local CCP","Local PPO","01/01/2020","For Profit","CIGNA","New York","12,044","900 Cottage Grove Road","","Bloomfield","CT","06002","Customer Service Director","Staples","David","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","02/05/2019"
"CIGNA HEALTHCARE OF ARIZONA, INC.","Cigna","H0354","Local CCP","HMO/HMOPOS","12/01/1992","For Profit","CIGNA","New York","54,180","25500 N. Norterra Drive","Bldg B-Cigna Medicare Services","PHOENIX","AZ","85085","Customer Service Director","Staples","David","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","08/20/2020"
"CIGNA HEALTHCARE OF COLORADO, INC.","Cigna","H0672","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CIGNA","New York","854","3900 East Mexico Avenue, Suite 1100","","Denver","CO","80210","Customer Service Director","Staples","David","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","02/05/2019"
"CIGNA HEALTHCARE OF GEORGIA, INC.","Cigna","H0439","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","CIGNA","New York","27,305","Two Securities Center","3500 Piedmont Rd, Suite 2","Atlanta","GA","30306","Customer Service Director","Staples","David","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","02/02/2019"
"CIGNA HEALTHCARE OF NORTH CAROLINA, INC.","Cigna","H9725","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","CIGNA","New York","14,153","701 Corporate Center Dr","","Raleigh","NC","27607","Customer Service Director","Staples","David","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","02/02/2019"
"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.","Cigna","H7020","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","CIGNA","New York","6,601","4000 Faber Place Dr.","Suite 220","Charleston","SC","29405","Customer Service Director","Staples","David","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","02/02/2019"
"CIGNA HEALTHCARE OF ST LOUIS, INC.","Cigna","H9460","Local CCP","HMO/HMOPOS","01/01/2016","For Profit","CIGNA","New York","3,334","530 Great Circle Road","","Nashville","TN","37228","Customer Service Director","Staples","David","","1-800-668-3813","","1-888-766-6403","LetUsHelpYou@healthspring.com","2800 North Loop West","","Houston","TX","77092","02/02/2019"
"CLEAR SPRING HEALTH (CO), INC.","Clear Spring Health","H6379","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Group 1001","Chicago","274","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","","Deihl","Brandon","","1-847-696-8504","","","Brandon.Deihl@clearspringhealthcare.com","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","03/19/2019"
"CLEAR SPRING HEALTH (VA), INC.","Clear Spring Health","H8293","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Group 1001","Chicago","574","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","","Deihl","Brandon","","1-847-696-8504","","","Brandon.Deihl@clearspringhealthcare.com","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","03/19/2019"
"CLEAR SPRING HEALTH OF ILLINOIS, INC.","Clear Spring Health","H5454","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Group 1001","Chicago","82","227 West Monroe Street","Suite 3950","Chicago","IL","60606","","Deihl","Brandon","","1-847-696-8504","","","Brandon.Deihl@clearspringhealthcare.com","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","03/19/2019"
"CLOVER HMO OF NEW JERSEY, INC.","Clover Health","H8010","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Clover Health Holdings, Inc.","New York","5,465","30 Montgomery Street, 15th Floor","","Jersey City","NJ","07302","Chief Compliance Officer","Richey","Wendy","","1-551-225-2014","","1-201-255-4173","wendy.richey@cloverhealth.com","30 Montgomery Street, 15th Floor","","Jersey City","NJ","07302","11/08/2019"
"CLOVER INSURANCE COMPANY","Clover Health","H5141","Local CCP","Local PPO","01/01/2013","For Profit","Clover Health Holdings, Inc.","New York","52,369","30 Montgomery Street, 15th Floor","","Jersey City","NJ","07302","Chief Compliance Officer","Richey","Wendy","","1-551-225-2014","","1-201-255-4173","wendy.richey@cloverhealth.com","30 Montgomery Street, 15th Floor","","Jersey City","NJ","07302","11/06/2019"
"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.","H0137","Demo","Medicare-Medicaid Plan HMO/HMOPOS","10/01/2013","Not-for-Profit/Non-Profit","Commonwealth Care Alliance, Inc.","Boston","26,738","30 Winter Street","12th Floor","Boston","MA","02108","Chief Compliance Officer","Moran","James","","1-617-426-0600","6991","","jmoran@commonwealthcare.org","30 Winter Street","","Boston","MA","02108","03/26/2018"
"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.","H2225","Local CCP","HMO/HMOPOS","06/01/2004","Not-for-Profit/Non-Profit","Commonwealth Care Alliance, Inc.","Boston","11,416","30 WINTER STREET","","BOSTON","MA","02108","Chief Compliance Officer","Moran","James","","1-617-426-0600","6991","","jmoran@commonwealthcare.org","30 Winter Street","","Boston","MA","02108","03/26/2018"
"COMMUNITY CARE ALLIANCE OF ILLINOIS, NFP","Clear Spring Health","H3071","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","Group 1001","Chicago","3,381","322 S. Green Street","Suite 400","Chicago","IL","60607","","Deihl","Brandon","","1-855-275-2781","","","Brandon.deihl@clearspringhealthcare.com","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","07/19/2019"
"COMMUNITY CARE HEALTH PLAN OF LOUISIANA, INC.","Healthy Blue","H1947","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Anthem Inc.","Chicago","919","3850 N. Causeway Boulevard, Suite 600","","Metairie","LA","70002","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"COMMUNITY CARE HEALTH PLAN, INC.","Community Care","H2034","Local CCP","HMO/HMOPOS","01/01/2008","Not-for-Profit/Non-Profit","Community Care, Inc.","Chicago","512","205 Bishops Way","","Brookfield","WI","53005","","Hotline","Provider","","1-866-937-2783","","","claimsinquiries@communitycareinc.org","1801 Dolphin Drive","","Waukesha","WI","53186","02/17/2010"
"COMMUNITY CARE, INC.","Community Care","H5212","National PACE","National PACE","11/01/2003","Not-for-Profit/Non-Profit","Community Care, Inc.","Chicago","519","205 Bishops Way","","Brookfield","WI","53005","","Hotline","Provider","","1-866-937-2783","","","claimsinquiries@communitycareinc.org","1801 Dolphin Drive","","Waukesha","WI","53186","02/17/2010"
"COMMUNITY ELDERCARE OF SAN DIEGO","St. Paul's PACE","H5629","National PACE","National PACE","02/01/2008","Not-for-Profit/Non-Profit","St. Paul’s Episcopal Home","San Francisco","841","111 Elm Street","","San Diego","CA","92101","Executive Director","Hubbard","Carol","","1-619-677-3800","","1-619-677-3888","director@stpaulspace.org","111 Elm Street","","San Diego","CA","92101","05/18/2010"
"COMMUNITY HEALTH CHOICE TEXAS, INC.","Community Health Choice","H9826","Local CCP","HMO/HMOPOS","01/01/2020","Not-for-Profit/Non-Profit","Harris County Hospital District","Dallas","*","2636 South Loop West","Suite 125","Houston","TX","77054","","Kilty","Stephanie","","1-713-295-2279","","","stephanie.kilty@communityhealthchoice.org","2636 South Loop West","Suite 125","Houston","TX","77054","09/21/2020"
"COMMUNITY HEALTH GROUP","Community Health Group","H5172","Demo","Medicare-Medicaid Plan HMO/HMOPOS","04/01/2014","Not-for-Profit/Non-Profit","Community Health Group","San Francisco","6,823","2420 FENTON STREET, SUITE 100","","CHULA VISTA","CA","91914","Member Services Director","Waters","David","","1-619-498-6420","","","dwaters@chgsd.com","2420 Fenton Street Suite 100","","Chula Vista","CA","91914","10/22/2020"
"COMMUNITY HEALTH PLAN OF WASHINGTON","Community Health Plan of WA Medicare Advantage","H5826","Local CCP","HMO/HMOPOS","01/01/2007","Not-for-Profit/Non-Profit","Community Health Plan of Washington","Seattle","13,423","1111 Third Ave, Suite 400","","Seattle","WA","981011830","Customer Service Departme","Care","Customer","","1-800-942-0247","","1-206-521-8834","CustomerCare@chpw.org","1111 Third Ave, Ste 400","","Seattle","WA","98101-1830","09/21/2016"
"COMMUNITY INSURANCE COMPANY","Anthem Blue Cross and Blue Shield","H3655","Local CCP","HMO/HMOPOS","10/01/1994","For Profit","Anthem Inc.","Chicago","232,693","4361 Irwin Simpson Road","","Mason","OH","45040","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"COMMUNITY PACE AT HOME, INC","Community PACE at Home, Inc,","H5085","National PACE","National PACE","07/01/2017","For Profit","Community PACE at Home, Inc","Chicago","65","231 West Pine Lake Drive","","Newaygo","MI","49337","intake Director","puskarich","jaymie","","1-800-689-6675","","1-231-689-5038","jpuskarich@communitypace.com","231 West Pine Lake Drive","","Newaygo","MI","49337","10/31/2020"
"COMMUNITYCARE GOVERNMENT PROGRAMS, INC.","CommunityCare Senior Health Plan (HMO)","H3755","Local CCP","HMO/HMOPOS","05/01/1996","Not-for-Profit/Non-Profit","St Francis Health System & St John Health System","Dallas","27,398","Two West Second Street, Suite 100","","Tulsa","OK","74103","VP Operations","White","Sherrie","","1-918-594-5295","5386","","swhite@ccok.com","Two West Second Street, Suite 100","","Tulsa","OK","74103","12/27/2018"
"COMMUNITYCARE GOVERNMENT PROGRAMS, INC.","CommunityCare Advantage Medicare Plan (HMO)","H4198","Local CCP","HMO/HMOPOS","01/01/2016","Not-for-Profit/Non-Profit","St Francis Health System & St John Health System","Dallas","1,722","Two West Second Street, Suite 100","","Tulsa","OK","74103","VP Operations","White","Sherrie","","1-918-594-5295","5386","","swhite@ccok.com","Two West Second Street, Suite 100","","Tulsa","OK","74103","12/27/2018"
"COMPBENEFITS INSURANCE COMPANY","Humana","H9070","Local CCP","Local PPO","01/01/2019","For Profit","Humana Inc.","Kansas City","35,640","2929 Briarpark, Suite 314","","Houston","TX","770423719","","Collins","Michael","","1-800-448-6262","","","mcollins2@humana.com","101 East Main Street","","Louisville","KY","40202","02/08/2018"
"COMPCARE HEALTH SERVICES INSURANCE CORPORATION","Anthem Blue Cross and Blue Shield","H9525","Local CCP","HMO/HMOPOS","01/01/2013","For Profit","Anthem Inc.","Chicago","80,908","N17 W24340 Riverwood","","Waukesha","WI","53188","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"COMPLETE HEALTH WITH PACE","Complete Health with PACE","H6342","National PACE","National PACE","06/01/2016","Not-for-Profit/Non-Profit","Baptist Health (Arkansas)","Dallas","71","2100 Pike Avenue","","North Little Rock","AR","72114","Executive Director","Williams","Sheila","","1-501-688-0603","","","swilliams@completehealthwithpace.org","2100 Pike Avenue","","North Little Rock","AR","72114","05/18/2019"
"COMPLETE SENIOR CARE, INC.","Complete Senior Care","H8777","National PACE","National PACE","08/01/2011","Not-for-Profit/Non-Profit","Health Association of Niagara County, Incorp.","New York","122","1302 Main Street","","Niagra Falls","NY","14301","Enrollment/Marketing","McAuliffe","Virginia","","1-716-285-8248","111","","McAuliffe@completeseniorcare.org","1302 Main Street","","Niagara Falls","NY","14301","02/19/2013"
"COMPREHENSIVE SENIOR CARE CORPORATION","Senior Care Partners P.A.C.E.","H1310","National PACE","National PACE","04/01/2009","Not-for-Profit/Non-Profit","Comprehensive Senior Care Corporation","Chicago","528","200 W. Michigan Avenue","Suite 103","Battle Creek","MI","49017","Chief Executive Officer","Ferrara","Laura","","1-269-441-9300","","","l.ferrara@seniorcarepartnersmi.org","200 W. Michigan Avenue, Suite 103","","Battle Creek","MI","49017","05/22/2020"
"CONNECTICARE INSURANCE COMPANY, INC.","ConnectiCare","H3276","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","EmblemHealth, Inc.","New York","1,781","175 Scott Swamp Rd","","Farmington","CT","06032","VP, Service Delivery","Guggenheim","Victoria","","1-646-447-6221","","","vguggenheim@emblemhealth.com","175 Scott Swamp Road","","Farmington","CT","06032","10/23/2020"
